"partido";"userid";"username";"location";"texto";"coordinates"
"Rede45";"3456159316";"NEI";"São Carlos, Brasil";"spfc tem certeza vcs podem ir juntos não acham";""
"Rede45";"542907486";"fatima rejane souza";"paralelo POA RS";"oficial é muito triste uma quadrilha em caravana e outras dando apoio ao temer na retaguarda uma";""
"Rede45";"70760579";"Raffael Araripe";"Parnaíba, PI, Brasil";"milhoes";""
"Rede45";"2588429768";"Teka";"Brazil, IN";"aécio realmente um dos parlamentares mais influentes e mais querido do país comunidades torcendo por";""
"Rede45";"777377506026455041";"Geonney Araújo";"Crateús, Brasil";"oficial isso é dor de cotovelo , chupa psdb , pode chorar";""
"PMDB_Nacional";"361432686";"SINTEC BA";"Salvador Bahia";"nacional pmdb pode mandar detonar o brasil";""
"PMDB_Nacional";"774822706223181824";"uel f santos";"Salvador, Brasil";"nacional partido corrupto falando isso kkkkkk";""
"PMDB_Nacional";"55704832";"Anderson Araujo";"São Paulo";"nacional falou a maior prostituta pelo poder desse país";""
"PMDB_Nacional";"279195632";"SDC";"POA RS Brasil";"nacional partido ou quadrilha";""
"PMDB_Nacional";"2700341938";"Fernando Rodrigues S";"Cascavel, Brasil";"nacional todos da foto são gente finíssima kkkkk";""
"PMDB_Nacional";"219341381";"Breno Carneiro";"São Carlos";"nacional vai se fuder seus vagabundos";""
"PMDB_Nacional";"1532414851";"Angelica Pereira";"Juiz de Fora, Brasil";"nacional vai pro inferno todos vocês e outros políticos brasileiros vergonha de ter nascido aqui e ter que p";""
"PMDB_Nacional";"59752032";"Pedro Carvalho";"Brumadinho MG";"nacional piada este twitter do pmdb";""
"PMDB_Nacional";"751197850529304576";"jocacarlos";"São Mateus, Brasil";"nacional olhe o que os adeptos do pmdb tem para mostrar aos brasileiros";""
"PMDB_Nacional";"785898822337716224";"Lourenzo Oliveira";"Conceição do Coité BA, Brasil";"nacional o essa quadrilha mais perigosa do país faz em benefício do brasil";""
"PMDB_Nacional";"747904252081737728";"Galves";"Sorocaba, Brasil";"nacional o que vocês fizeram em anos de governo só desgraçaram o brasil devolva o governo aos militares,";""
"PMDB_Nacional";"875329976781991936";"Marlon T G Queiroz";"Bahia, Brasil";"nacional que quem confia no pmdb vocês estão loucos ou fazem de conta um partido de sanguessugas e corruptos";""
"PMDB_Nacional";"74128070";"Rafael Bittencourt";"Cascavel, Brasil";"nacional";""
"PMDB_Nacional";"710589612431974400";"José Cláudio nascime";"Minas Gerais, Brasil";"nacional e o gedel fala tv";""
"PMDB_Nacional";"880580201146703874";"Guilherme Bacim";"Caxias do Sul, Brasil";"nacional muito bom nacional só tiraram o percentual do";""
"PMDB_Nacional";"3040731923";"Manoel Pereira";"Planeta Terra,Brasil S Paulo";"nacional não adianta maquiarem corrupção ,tivéssemos em guerra muitos q morreram estariam vivos ,tanto foi c";""
"PMDB_Nacional";"61816593";"Tomas Jeferson";"Cruzaltense, Brasil";"nacional os filiados municipais terão que votar tb";""
"PMDB_Nacional";"865672246563663872";"Leandro Alemão";"Sul";"nacional olha a foto, só mumia velha que daqui uns anos estarao mortos bando de marginal";""
"PMDB_Nacional";"111855688";"Fabrício Spínola";"Caratinga MG";"nacional kd as malas";""
"PMDB_Nacional";"864123390873006080";"Anderson Carvalho";"Sao Paulo, Brazil";"nacional com geddel, jucá, o supremo e tudo";""
"PMDB_Nacional";"224073306";"FocoBrasil";"São Paulo, Brasil";"nacional parabéns mdb, grande e forte em defesa do brasil";""
"PMDB_Nacional";"1301753834";"Pato ou morte";"Patópolis";"nacional dava p construir uma penitenciária só c o q esse pessoal colocou no bolso desde o golpe de p eles mesmos morarem lá";""
"PMDB_Nacional";"738173981836992512";"Layla";"Santo Amaro, São Paulo";"nacional corrupção mata devolve o dinheiro dos roubo";""
"PMDB_Nacional";"52504041";"Edu Cazzoli";"Brasília, DF";"nacional deixe sua risada aqui embaixo kkkkkkkkkkkkkk";""
"PMDB_Nacional";"132669791";"Lucas Dias";"Olinda, Brasil";"nacional mais planejamentos de como destruir o brasil em curto prazo";""
"PMDB_Nacional";"240110739";"Sofistinha";"Nova Jaboticabal, Jaboticabal";"nacional que maravilha, no meio do caos da corrupção, a reforma política é aprovada os mesmos partidos conti";""
"ptbrasil";"31470291";"Fabiano Tozelli";"Brazil, Sao Paulo";"esse partido é uma piada mesmo se envolve em várias falcatruas e depois fica se vitimando por perseguiç";""
"ptbrasil";"52553277";"Anamim Lopes Silva";"Brasília, Distrito Federal";"mau agouro cade o réu principal e condenado mor";""
"ptbrasil";"236443739";"Murillo Lobo";"Goiânia GO";"é verdade perseguindo o cunha, o temer, o aécio, o geddel muito injusto isso";""
"ptbrasil";"804669959058112512";"Raquel Chaves";"São Paulo, Brasil";"lula é um ser de farra e força ele irá vencer";""
"ptbrasil";"879264210441691136";"O ponderador";"England, United Kingdom";"piada";""
"ptbrasil";"898552031425822720";"Kozak";"Curitiba, Brasil";"o interessante é que o psicopata consegue emular as emoções humanas clinicamente falando, eles são incap";""
"ptbrasil";"776174582051004420";"Supremacia corrupta";"Brasília, Brasil";"companheiro palocci mandou lembranças";""
"ptbrasil";"1534604894";"Alessandro Firmo";"São Paulo Brasil";"os são os primeiros a abandonar o barco quando ele começa a afundar r i p pt";""
"ptbrasil";"149108651";"Ricardo Fonseca";"ZoiãoWorld";", o dia que conheci o lula";""
"ptbrasil";"1586574116";"Adriana Machado";"Porto Alegre RS Brasil";"caraaa, como esse lula é odiado o câncer ainda há de comer esse desgraça";""
"ptbrasil";"774822706223181824";"uel f santos";"Salvador, Brasil";"quando vejo essas notícias";""
"ptbrasil";"57780014";"Thiago Bastos";"São Paulo, Brasil";"kkkkkkkkkkkkk cadeiaaaaa";""
"ptbrasil";"163990918";"Ronald lima";"PINDAMONHANGABA";"há taaaa";""
"ptbrasil";"88994482";"Susana Simões Leal";"Recife PE Brasil";"vocês estão falando desse que se aprpriou indevidamento do dinheiro gois hospinais e escolas";""
"ptbrasil";"2698964294";"Edivaldo Almeida";"Cuiabá, Mato Grosso";"vcs saquearam o país e ainda querem mais tipo assim, dxa igual a venezuela kkkkkkkkk";""
"ptbrasil";"56004252";"zé pinguinha";"São Paulo BRASIL";"o paloffi dinamitou vcs cambada pt acabou graças a deus";""
"ptbrasil";"250365884";"Milca";"Brasil";"a primeira temporada começa quando";"{'coordinates': [-34.91023404, -8.11946156], 'type': 'Point'}"
"ptbrasil";"865024917892419584";"Carlos Renato";"Recife, Brasil";"huahuahua deu pessoas nesse comíssio";""
"ptbrasil";"99511149";"Paulo Santis Morais";"São João, Brasil";"repartiu algum pixuleco";""
"ptbrasil";"100797108";"";"Rio de Janeiro, Brasil";"chico vigilante sabe escrever deve ter só desenhado";""
"ptbrasil";"2344831078";"Só algumas reflexões";"Rio de Janeiro, Brasil";"isso é uma piada, não é não menosprezem a população vocês são culpados por milhões desempregados";""
"ptbrasil";"2515406644";"Pedro Guberovic Neto";"Guarulhos, São Paulo";"kkkkkkkkkkkkkkkkkkkkkk";""
"ptbrasil";"44617639";"Thiago Rachid";"Rio de Janeiro, RJ";"culto personalidade";""
"ptbrasil";"760859703668768768";"Ely";"Recife, Brasil";"esperamos que a justiça seja feita";""
"ptbrasil";"4872891855";"Marlon Queiroz";"Belém, Brasil";"quero ver a casa cair";""
